text,label
https://www.google.com,safe
https://github.com/Lee-seung-won/qr-gen-ml,safe
https://www.naver.com,safe
https://ko.wikipedia.org/wiki/QR코드,safe
MENU: americano 4500 won,safe
WiFi:SCHOOL_GUEST;PWD:welcome2024;;,safe
Contact: student@university.ac.kr,safe
Event ticket #A-1042 validated,safe
https://fastapi.tiangolo.com,safe
Book return due: 2026-03-15,safe
https://www.python.org/downloads/,safe
Room B-302 office hours 14:00-16:00,safe
https://render.com/docs,safe
Student ID check-in OK,safe
https://docs.github.com/en/actions,safe
Library seat 12F-07 reserved,safe
https://scikit-learn.org/stable/,safe
Campus shuttle stop: Engineering Building,safe
https://mlflow.org/docs/latest/,safe
Thank you for visiting our booth today,safe
http://bit.ly/prize-win-now,spam
URGENT verify account at http://secure-bank-verify.tk/login,spam
You won 5000000 KRW claim http://lottery-claim.xyz,spam
Click http://free-gift-card.ml redeem before midnight,spam
Your package held pay fee http://delivery-fee-update.ga,spam
SMS prize: send bank info to http://promo-reward.cc,spam
http://apple-id-unlock.ru confirm password now,spam
Crypto doubler send BTC http://2x-bitcoin-return.io,spam
http://netflix-billing-alert.tk update payment urgent,spam
Tax refund pending http://gov-refund-portal.ml,spam
http://kakao-pay-event.xyz/login session expired,spam
Your phone infected scan http://antivirus-clean-now.tk,spam
http://naver-login-secure.ru verify identity immediately,spam
Free iPhone click http://iphone-giveaway-2026.cc,spam
http://paypal-security-check.ga unusual activity detected,spam
Loan approved wire deposit http://instant-loan-kr.tk,spam
http://amazon-order-cancel.ml confirm or lose account,spam
Excessive login attempts http://microsoft-365-lock.ru,spam
http://coupon-100-percent-off.xyz enter card details,spam
CEO urgent wire transfer http://wire-instruction-biz.tk,spam
